Fecha,Punto,Codigo,Producto,Factura,Precio,Otros Impuestos,IVA %,IVA $,Total Unitario,Cantidad,Total
18/12/24,Market Samaria,2436,Rojo Te Hatsu Vidrio X400ml,SM07239691,3151.26,0.0,19,598.74,3750.0,6,22500.0
18/12/24,Market Samaria,2021,Gaseosa Manzana Cero 1.5ml,SM07239691,2801.12,0.0,19,532.21,3333.33,6,20000.0
18/12/24,Market Samaria,1468,Gaseosa Bretaña 1.5 Litros,SM07239691,2801.12,0.0,0,0.0,2801.12,24,67226.9
18/12/24,Market Samaria,1620,Gatorade Tropical Fruit X 500ml,SM07239691,2591.04,0.0,19,492.3,3083.34,24,74000.1
18/12/24,Market Samaria,3606,Gatorade Fresa Kiwi Sin Azucar X500ml,SM07239691,2591.04,0.0,19,492.3,3083.34,30,92500.12
18/12/24,Market Samaria,4932,AGUA CRISTAL SPORTCAP X1L,SM07239691,1890.0,0.0,0,0.0,1890.0,60,113400.0
18/12/24,Market Samaria,4932,AGUA CRISTAL SPORTCAP X1L,SM07239691,2100.0,0.0,0,0.0,2100.0,6,12600.0
18/12/24,Market Samaria,4805,HIT MORA 500ML,SM07239691,1750.7,0.0,19,332.63,2083.33,12,25000.0
18/12/24,Market Samaria,1621,Soda Hatsu Uva & Romero X300ml,SM07239691,2135.85,0.0,19,405.81,2541.66,6,15249.97
18/12/24,Market Samaria,4780,ROSADO PASTEL TE HATSU VIDRIO X400ML,SM07239691,3151.26,0.0,19,598.74,3750.0,6,22500.0
18/12/24,Market Samaria,4375,Gatorade Azul X500ml,SM07239691,2591.04,0.0,19,492.3,3083.34,12,37000.05
18/12/24,Market Samaria,1465,H2o Lima Limon X 600ml,SM07239691,1820.73,0.0,19,345.94,2166.67,15,32500.03
18/12/24,Market Samaria,1467,Gaseosa Colombiana 1.5 Lt,SM07239691,3155.95,0.0,19,599.63,3755.58,12,45066.97
18/12/24,Market Samaria,1464,H2o Limonata X 600 Ml,SM07239691,1820.73,0.0,19,345.94,2166.67,15,32500.03
18/12/24,Market Samaria,2874,Gaseosa Colombiana Cero 1.5ml,SM07239691,2801.12,0.0,19,532.21,3333.33,6,20000.0
18/12/24,Market Samaria,1622,Soda Hatsu Limon & Hierbabuena,SM07239691,2135.85,0.0,19,405.81,2541.66,6,15249.97
18/12/24,Market Samaria,1452,Soda Hatsu Frambuesa & Rosas X300ml,SM07239691,2135.85,0.0,19,405.81,2541.66,12,30499.94
18/12/24,Market Samaria,162,Bretaña  Friopack X300ml,SM07239691,1950.0,0.0,0,0.0,1950.0,24,46800.0
18/12/24,Market Samaria,1462,JUGO HIT NARANJA PIÑA X 500ML,SM07239691,1750.7,0.0,19,332.63,2083.33,12,25000.0
18/12/24,Market Samaria,4921,GASEOSA MANZANA POSTOBON X1.5L,SM07239691,3155.95,0.0,19,599.63,3755.58,12,45066.97
18/12/24,Market Samaria,1190,Garrafa Agua 5 Litros Cristal,SM07239691,6700.0,0.0,0,0.0,6700.0,60,402000.0
18/12/24,Market Playa Dormida,4299,Heineken Lata 310ml,SM07239132,1790.71,0.0,19,340.23,2130.94,54,115071.0
18/12/24,Market Playa Dormida,3800,Heineken Sin Alcohol,SM07239132,2184.87,0.0,19,415.13,2600.0,48,124799.77
18/12/24,Market Playa Dormida,1453,Redbull Lata X 250ml,SM07239131,4705.88,0.0,19,894.12,5599.99,8,44799.93
18/12/24,Market Playa Dormida,1467,Gaseosa Colombiana 1.5 Lt,SM07239131,3155.95,0.0,19,599.63,3755.58,12,45066.97
18/12/24,Market Playa Dormida,4172,Agua Cristal 600 Ml Sin Gas,SM07239131,980.9,0.0,0,0.0,980.9,96,94166.4
18/12/24,Market Playa Dormida,1190,Garrafa Agua 5 Litros Cristal,SM07239131,6700.0,0.0,0,0.0,6700.0,40,268000.0
18/12/24,Market Playa Dormida,2610,Agua Cristal Botellon 20lts,SM07239131,13350.0,0.0,0,0.0,13350.0,11,146850.0
18/12/24,Market Playa Dormida,1468,Gaseosa Bretaña 1.5 Litros,SM07239131,2801.12,0.0,0,0.0,2801.12,12,33613.45
18/12/24,Market Playa Dormida,1620,Gatorade Tropical Fruit X 500ml,SM07239131,2220.77,0.0,19,421.95,2642.71,14,36998.0
18/12/24,Market Playa Dormida,4291,Canada Dry X300ml,SM07239131,1634.8,0.0,19,310.61,1945.41,24,46689.89
16/12/24,Market Samaria,1467,Gaseosa Colombiana 1.5 Lt,SM07230897,2656.36,0.0,19,504.71,3161.07,12,37932.87
16/12/24,Market Samaria,1458,Agua Cristal C/gas 600ml,SM07230897,1055.63,0.0,0,0.0,1055.63,24,25335.24
16/12/24,Market Samaria,1622,Soda Hatsu Limon & Hierbabuena,SM07230897,1797.74,0.0,19,341.57,2139.32,6,12835.9
16/12/24,Market Samaria,1452,Soda Hatsu Frambuesa & Rosas X300ml,SM07230897,1797.74,0.0,19,341.57,2139.32,12,25671.8
16/12/24,Market Samaria,2601,Acqua Frutos Rojos 400ml,SM07230897,886.26,0.0,19,168.39,1054.65,15,15819.73
16/12/24,Market Samaria,4375,Gatorade Azul X500ml,SM07230897,2180.88,0.0,19,414.37,2595.24,12,31142.94
16/12/24,Market Samaria,1457,Agua Cristal 600 Ml Sin Gas,SM07230897,1154.0,0.0,0,0.0,1154.0,154,177716.0
16/12/24,Market Samaria,1621,Soda Hatsu Uva & Romero X300ml,SM07230897,1797.74,0.0,19,341.57,2139.32,6,12835.9
16/12/24,Market Samaria,1466,Gaseosa Manzana Postobon 1.5 Lt,SM07230897,2656.36,0.0,19,504.71,3161.07,12,37932.87
16/12/24,Market Samaria,1615,Agua Cristal 1 Lt. Pet,SM07230897,1262.55,0.0,0,0.0,1262.55,60,75753.0
